,MinValue,MaxValue
2pvr,1.0,151.78
3bqc,13.55,100.46
3h30,2.0,123.08
3mb7,12.4,49.48
3nsz,6.02,87.92
3owk,8.06,51.88
3pe1,7.92,88.01
3q04,2.0,65.58
3q9w,4.1,66.21
3r0t,6.73,88.21
3war,4.82,85.22
4kwp,6.13,106.58
4rll,13.88,87.37
5clp,7.36,144.86
5cs6,21.11,265.56
5csp,5.86,123.92
5csv,9.49,99.19
5cu4,5.48,103.11
5cu6,9.4,102.55
5cvg,6.57,100.37
